E,H,I,R,S,Time
147,0,74,52,9727,4.32512
147,0,73,53,9727,4.33595
148,0,73,53,9726,4.35043
148,0,72,54,9726,4.35746
147,0,73,54,9726,4.36428
148,0,73,54,9725,4.37158
147,0,74,54,9725,4.3824
146,0,75,54,9725,4.3849
145,0,76,54,9725,4.40652
146,0,76,54,9724,4.40869
146,0,75,55,9724,4.41466
147,0,75,55,9723,4.41876
148,0,75,55,9722,4.4213
148,0,74,56,9722,4.42677
147,0,75,56,9722,4.45067
148,0,75,56,9721,4.46655
149,0,75,56,9720,4.46922
148,0,76,56,9720,4.47277
148,0,75,57,9720,4.48391
149,0,75,57,9719,4.50399
150,0,75,57,9718,4.50491
149,0,76,57,9718,4.51539
148,0,77,57,9718,4.52139
149,0,77,57,9717,4.524
150,0,77,57,9716,4.54414
151,0,77,57,9715,4.54535
152,0,77,57,9714,4.54998
153,0,77,57,9713,4.56349
153,0,76,58,9713,4.56454
154,0,76,58,9712,4.571
153,0,77,58,9712,4.5726
154,0,77,58,9711,4.59132
155,0,77,58,9710,4.59281
156,0,77,58,9709,4.59671
157,0,77,58,9708,4.59807
157,0,76,59,9708,4.59854
156,0,77,59,9708,4.60432
157,0,77,59,9707,4.61454
158,0,77,59,9706,4.61568
159,0,77,59,9705,4.62017
160,0,77,59,9704,4.62341
160,0,76,60,9704,4.63128
161,0,76,60,9703,4.63283
162,0,76,60,9702,4.65227
162,0,75,61,9702,4.6566
163,0,75,61,9701,4.65849
164,0,75,61,9700,4.67309
165,0,75,61,9699,4.67661
164,0,76,61,9699,4.68556
165,0,76,61,9698,4.69643
165,0,75,62,9698,4.70026
166,0,75,62,9697,4.71728
167,0,75,62,9696,4.73687
168,0,75,62,9695,4.74511
167,0,76,62,9695,4.74776
168,0,76,62,9694,4.74961
167,0,77,62,9694,4.77224
168,0,77,62,9693,4.79308
168,0,76,63,9693,4.79416
167,0,77,63,9693,4.79841
168,0,77,63,9692,4.80302
169,0,77,63,9691,4.81029
170,0,77,63,9690,4.8149
170,0,76,64,9690,4.82115
169,0,77,64,9690,4.82677
169,0,76,65,9690,4.83793
168,0,77,65,9690,4.85275
167,0,78,65,9690,4.86152
166,0,79,65,9690,4.86661
165,0,80,65,9690,4.87176
164,0,81,65,9690,4.87572
164,0,80,66,9690,4.87719
165,0,80,66,9689,4.89691
165,0,79,67,9689,4.90079
166,0,79,67,9688,4.90418
167,0,79,67,9687,4.91256
168,0,79,67,9686,4.91558
169,0,79,67,9685,4.92254
170,0,79,67,9684,4.94015
170,0,78,68,9684,4.95468
171,0,78,68,9683,4.96281
170,0,79,68,9683,4.9678
170,0,78,69,9683,4.97745
171,0,78,69,9682,4.98349
171,0,77,70,9682,4.9881
172,0,77,70,9681,4.99088
173,0,77,70,9680,4.99258
174,0,77,70,9679,4.99595
